Order #,Order Date,Item Id,Item,Category,Quantity,Item Price,Item End Time,Payment Date,Payment Amount,Tracking #,Tax,Additional Fee,Shipping Price,Handling Price,Donation,Shipped Date,Seller
59525630,12/27/2025,250960741,"Dr. Martens Black Canvas Lace-Up Boots, Size US 6 / UK 4 / EU 37",Clothing > Women's Clothing > Shoes Women's > Size 6,1,$9.99,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525630,12/27/2025,251016248,Harley-Davidson XL Black Quilted Jacket with Embroidered Logos,Clothing > Men's Clothing > Outerwear > Size XL,1,$20.00,12/27/2025,12/27/2025,$168.61,441366690074	,$0.00,$0.00,$11.64,$10.00,$0.00,12/31/2025,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015350,Women's Lululemon Striped Athletic Capri Leggings - Size 6,Clothing > Women's Clothing > Athletic Apparel > Size 6,1,$8.50,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015569,Lululemon Women's Blue Ribbed Capri Leggings Ruched Sides,Clothing > Women's Clothing > Athletic Apparel > Size M,1,$8.50,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015676,Lululemon Athletica Women's Activewear Leggings Size 2,Clothing > Women's Clothing > Athletic Apparel > Size 2,1,$8.50,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015706,Lululemon Black Strappy Support Athletic Tank Top - Size 6,Clothing > Women's Clothing > Athletic Apparel > Size 6,1,$11.00,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015806,Lululemon Navy Blue Women's Jogger Pants - Size 4,Clothing > Women's Clothing > Pants > Size 4,1,$18.02,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015840,Lululemon Women's Navy Blue Athletic Short Sleeve Dress Size 10,Clothing > Women's Clothing > Dresses > Size 10,1,$8.99,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015855,"Lululemon Women's High-Waisted Cropped Leggings - Size 8, Animal Print, White Gr",Clothing > Women's Clothing > Athletic Apparel > Size 8,1,$12.00,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
59525798,12/27/2025,251015906,AC/DC Highway to Hell 1979 US Tour Black Graphic T-Shirt,Clothing > Men's Clothing > Shirts,1,$8.99,12/27/2025,12/27/2025,$168.11,483870698170	,$0.00,$0.00,$11.64,$10.00,$0.00,1/1/2026,Goodwill Industries of the Inland Northwest
